TicketID,TruckModel,Region,Priority,Subject,Description,Category
DT00095,Axor,South Africa,Medium,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00096,Actros,India,High,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00097,Arocs,Germany,Low,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00098,Atego,USA,Medium,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00099,eActros,Brazil,High,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00100,Axor,South Africa,Low,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00101,Actros,India,Medium,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00102,Arocs,Germany,High,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00103,Atego,USA,Low,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00104,eActros,Brazil,Medium,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00105,Axor,South Africa,High,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00106,Actros,India,Low,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00107,Arocs,Germany,Medium,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00108,Atego,USA,High,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00109,eActros,Brazil,Low,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00110,Axor,South Africa,Medium,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00111,Actros,India,High,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00112,Arocs,Germany,Low,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00113,Atego,USA,Medium,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00114,eActros,Brazil,High,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00115,Axor,South Africa,Low,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00116,Actros,India,Medium,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00117,Arocs,Germany,High,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00118,Atego,USA,Low,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00119,eActros,Brazil,Medium,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00120,Axor,South Africa,High,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00121,Actros,India,Low,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00122,Arocs,Germany,Medium,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00123,Atego,USA,High,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00124,eActros,Brazil,Low,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00125,Axor,South Africa,Medium,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00126,Actros,India,High,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00127,Arocs,Germany,Low,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00128,Atego,USA,Medium,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00129,eActros,Brazil,High,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00130,Axor,South Africa,Low,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00131,Actros,India,Medium,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00132,Arocs,Germany,High,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00133,Atego,USA,Low,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00134,eActros,Brazil,Medium,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00135,Axor,South Africa,High,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00136,Actros,India,Low,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00137,Arocs,Germany,Medium,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00138,Atego,USA,High,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00139,eActros,Brazil,Low,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00140,Axor,South Africa,Medium,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00141,Actros,India,High,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00142,Arocs,Germany,Low,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00143,Atego,USA,Medium,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00144,eActros,Brazil,High,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00145,Axor,South Africa,Low,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00146,Actros,India,Medium,Engine Issue,Engine overheating during uphill operation,Engine Issue
DT00147,Arocs,Germany,High,Engine Issue,Engine misfire detected during acceleration,Engine Issue
DT00148,Atego,USA,Low,Engine Issue,Oil pressure warning displayed on dashboard,Engine Issue
DT00149,eActros,Brazil,Medium,Engine Issue,Engine power reduced unexpectedly,Engine Issue
DT00150,Axor,South Africa,High,Engine Issue,Coolant temperature exceeded threshold,Engine Issue
DT00151,Actros,India,Low,Brake System,Brake pressure warning indicator remains active,Brake System
DT00152,Arocs,Germany,Medium,Brake System,ABS fault detected during operation,Brake System
DT00153,Atego,USA,High,Brake System,Brake sensor communication error,Brake System
DT00154,eActros,Brazil,Low,Brake System,Parking brake not releasing properly,Brake System
DT00155,Axor,South Africa,Medium,Brake System,Brake pedal response delayed,Brake System
DT00156,Actros,India,High,Brake System,Brake pressure warning indicator remains active,Brake System
DT00157,Arocs,Germany,Low,Brake System,ABS fault detected during operation,Brake System
DT00158,Atego,USA,Medium,Brake System,Brake sensor communication error,Brake System
DT00159,eActros,Brazil,High,Brake System,Parking brake not releasing properly,Brake System
DT00160,Axor,South Africa,Low,Brake System,Brake pedal response delayed,Brake System
DT00161,Actros,India,Medium,Brake System,Brake pressure warning indicator remains active,Brake System
DT00162,Arocs,Germany,High,Brake System,ABS fault detected during operation,Brake System
DT00163,Atego,USA,Low,Brake System,Brake sensor communication error,Brake System
DT00164,eActros,Brazil,Medium,Brake System,Parking brake not releasing properly,Brake System
DT00165,Axor,South Africa,High,Brake System,Brake pedal response delayed,Brake System
DT00166,Actros,India,Low,Brake System,Brake pressure warning indicator remains active,Brake System
DT00167,Arocs,Germany,Medium,Brake System,ABS fault detected during operation,Brake System
DT00168,Atego,USA,High,Brake System,Brake sensor communication error,Brake System
DT00169,eActros,Brazil,Low,Brake System,Parking brake not releasing properly,Brake System
DT00170,Axor,South Africa,Medium,Brake System,Brake pedal response delayed,Brake System
DT00171,Actros,India,High,Brake System,Brake pressure warning indicator remains active,Brake System
DT00172,Arocs,Germany,Low,Brake System,ABS fault detected during operation,Brake System
DT00173,Atego,USA,Medium,Brake System,Brake sensor communication error,Brake System
DT00174,eActros,Brazil,High,Brake System,Parking brake not releasing properly,Brake System
DT00175,Axor,South Africa,Low,Brake System,Brake pedal response delayed,Brake System
DT00176,Actros,India,Medium,Brake System,Brake pressure warning indicator remains active,Brake System
DT00177,Arocs,Germany,High,Brake System,ABS fault detected during operation,Brake System
DT00178,Atego,USA,Low,Brake System,Brake sensor communication error,Brake System
DT00179,eActros,Brazil,Medium,Brake System,Parking brake not releasing properly,Brake System
DT00180,Axor,South Africa,High,Brake System,Brake pedal response delayed,Brake System
DT00181,Actros,India,Low,Brake System,Brake pressure warning indicator remains active,Brake System
DT00182,Arocs,Germany,Medium,Brake System,ABS fault detected during operation,Brake System
DT00183,Atego,USA,High,Brake System,Brake sensor communication error,Brake System
DT00184,eActros,Brazil,Low,Brake System,Parking brake not releasing properly,Brake System
DT00185,Axor,South Africa,Medium,Brake System,Brake pedal response delayed,Brake System
DT00186,Actros,India,High,Brake System,Brake pressure warning indicator remains active,Brake System
DT00187,Arocs,Germany,Low,Brake System,ABS fault detected during operation,Brake System
DT00188,Atego,USA,Medium,Brake System,Brake sensor communication error,Brake System
DT00189,eActros,Brazil,High,Brake System,Parking brake not releasing properly,Brake System
DT00190,Axor,South Africa,Low,Brake System,Brake pedal response delayed,Brake System
DT00191,Actros,India,Medium,Brake System,Brake pressure warning indicator remains active,Brake System
DT00192,Arocs,Germany,High,Brake System,ABS fault detected during operation,Brake System
DT00193,Atego,USA,Low,Brake System,Brake sensor communication error,Brake System
DT00194,eActros,Brazil,Medium,Brake System,Parking brake not releasing properly,Brake System
DT00195,Axor,South Africa,High,Brake System,Brake pedal response delayed,Brake System
DT00196,Actros,India,Low,Brake System,Brake pressure warning indicator remains active,Brake System
DT00197,Arocs,Germany,Medium,Brake System,ABS fault detected during operation,Brake System
DT00198,Atego,USA,High,Brake System,Brake sensor communication error,Brake System
DT00199,eActros,Brazil,Low,Brake System,Parking brake not releasing properly,Brake System
DT00200,Axor,South Africa,Medium,Brake System,Brake pedal response delayed,Brake System
DT00201,Actros,India,High,Brake System,Brake pressure warning indicator remains active,Brake System
DT00202,Arocs,Germany,Low,Brake System,ABS fault detected during operation,Brake System
DT00203,Atego,USA,Medium,Brake System,Brake sensor communication error,Brake System
DT00204,eActros,Brazil,High,Brake System,Parking brake not releasing properly,Brake System
DT00205,Axor,South Africa,Low,Brake System,Brake pedal response delayed,Brake System
DT00206,Actros,India,Medium,Brake System,Brake pressure warning indicator remains active,Brake System
DT00207,Arocs,Germany,High,Brake System,ABS fault detected during operation,Brake System
DT00208,Atego,USA,Low,Brake System,Brake sensor communication error,Brake System
DT00209,eActros,Brazil,Medium,Brake System,Parking brake not releasing properly,Brake System
DT00210,Axor,South Africa,High,Brake System,Brake pedal response delayed,Brake System
DT00211,Actros,India,Low,Brake System,Brake pressure warning indicator remains active,Brake System
DT00212,Arocs,Germany,Medium,Brake System,ABS fault detected during operation,Brake System
DT00213,Atego,USA,High,Brake System,Brake sensor communication error,Brake System
DT00214,eActros,Brazil,Low,Brake System,Parking brake not releasing properly,Brake System
DT00215,Axor,South Africa,Medium,Brake System,Brake pedal response delayed,Brake System
DT00216,Actros,India,High,Brake System,Brake pressure warning indicator remains active,Brake System
DT00217,Arocs,Germany,Low,Brake System,ABS fault detected during operation,Brake System
DT00218,Atego,USA,Medium,Brake System,Brake sensor communication error,Brake System
DT00219,eActros,Brazil,High,Brake System,Parking brake not releasing properly,Brake System
DT00220,Axor,South Africa,Low,Brake System,Brake pedal response delayed,Brake System
DT00221,Actros,India,Medium,Brake System,Brake pressure warning indicator remains active,Brake System
DT00222,Arocs,Germany,High,Brake System,ABS fault detected during operation,Brake System
DT00223,Atego,USA,Low,Brake System,Brake sensor communication error,Brake System
DT00224,eActros,Brazil,Medium,Brake System,Parking brake not releasing properly,Brake System
DT00225,Axor,South Africa,High,Brake System,Brake pedal response delayed,Brake System
DT00226,Actros,India,Low,Brake System,Brake pressure warning indicator remains active,Brake System
DT00227,Arocs,Germany,Medium,Brake System,ABS fault detected during operation,Brake System
DT00228,Atego,USA,High,Brake System,Brake sensor communication error,Brake System
DT00229,eActros,Brazil,Low,Brake System,Parking brake not releasing properly,Brake System
DT00230,Axor,South Africa,Medium,Brake System,Brake pedal response delayed,Brake System
DT00231,Actros,India,High,Brake System,Brake pressure warning indicator remains active,Brake System
DT00232,Arocs,Germany,Low,Brake System,ABS fault detected during operation,Brake System
DT00233,Atego,USA,Medium,Brake System,Brake sensor communication error,Brake System
DT00234,eActros,Brazil,High,Brake System,Parking brake not releasing properly,Brake System
DT00235,Axor,South Africa,Low,Brake System,Brake pedal response delayed,Brake System
DT00236,Actros,India,Medium,Brake System,Brake pressure warning indicator remains active,Brake System
DT00237,Arocs,Germany,High,Brake System,ABS fault detected during operation,Brake System
DT00238,Atego,USA,Low,Brake System,Brake sensor communication error,Brake System
DT00239,eActros,Brazil,Medium,Brake System,Parking brake not releasing properly,Brake System
DT00240,Axor,South Africa,High,Brake System,Brake pedal response delayed,Brake System
DT00241,Actros,India,Low,Brake System,Brake pressure warning indicator remains active,Brake System
DT00242,Arocs,Germany,Medium,Brake System,ABS fault detected during operation,Brake System
DT00243,Atego,USA,High,Brake System,Brake sensor communication error,Brake System
DT00244,eActros,Brazil,Low,Brake System,Parking brake not releasing properly,Brake System
DT00245,Axor,South Africa,Medium,Brake System,Brake pedal response delayed,Brake System
DT00246,Actros,India,High,Brake System,Brake pressure warning indicator remains active,Brake System
DT00247,Arocs,Germany,Low,Brake System,ABS fault detected during operation,Brake System
DT00248,Atego,USA,Medium,Brake System,Brake sensor communication error,Brake System
DT00249,eActros,Brazil,High,Brake System,Parking brake not releasing properly,Brake System
DT00250,Axor,South Africa,Low,Brake System,Brake pedal response delayed,Brake System
DT00251,Actros,India,Medium,Brake System,Brake pressure warning indicator remains active,Brake System
DT00252,Arocs,Germany,High,Brake System,ABS fault detected during operation,Brake System
DT00253,Atego,USA,Low,Brake System,Brake sensor communication error,Brake System
DT00254,eActros,Brazil,Medium,Brake System,Parking brake not releasing properly,Brake System
DT00255,Axor,South Africa,High,Brake System,Brake pedal response delayed,Brake System
DT00256,Actros,India,Low,Brake System,Brake pressure warning indicator remains active,Brake System
DT00257,Arocs,Germany,Medium,Brake System,ABS fault detected during operation,Brake System
DT00258,Atego,USA,High,Brake System,Brake sensor communication error,Brake System
DT00259,eActros,Brazil,Low,Brake System,Parking brake not releasing properly,Brake System
DT00260,Axor,South Africa,Medium,Brake System,Brake pedal response delayed,Brake System
DT00261,Actros,India,High,Brake System,Brake pressure warning indicator remains active,Brake System
DT00262,Arocs,Germany,Low,Brake System,ABS fault detected during operation,Brake System
DT00263,Atego,USA,Medium,Brake System,Brake sensor communication error,Brake System
DT00264,eActros,Brazil,High,Brake System,Parking brake not releasing properly,Brake System
DT00265,Axor,South Africa,Low,Brake System,Brake pedal response delayed,Brake System
DT00266,Actros,India,Medium,Brake System,Brake pressure warning indicator remains active,Brake System
DT00267,Arocs,Germany,High,Brake System,ABS fault detected during operation,Brake System
DT00268,Atego,USA,Low,Brake System,Brake sensor communication error,Brake System
DT00269,eActros,Brazil,Medium,Brake System,Parking brake not releasing properly,Brake System
DT00270,Axor,South Africa,High,Brake System,Brake pedal response delayed,Brake System
DT00271,Actros,India,Low,Brake System,Brake pressure warning indicator remains active,Brake System
DT00272,Arocs,Germany,Medium,Brake System,ABS fault detected during operation,Brake System
DT00273,Atego,USA,High,Brake System,Brake sensor communication error,Brake System
DT00274,eActros,Brazil,Low,Brake System,Parking brake not releasing properly,Brake System
DT00275,Axor,South Africa,Medium,Brake System,Brake pedal response delayed,Brake System
DT00276,Actros,India,High,Brake System,Brake pressure warning indicator remains active,Brake System
DT00277,Arocs,Germany,Low,Brake System,ABS fault detected during operation,Brake System
DT00278,Atego,USA,Medium,Brake System,Brake sensor communication error,Brake System
DT00279,eActros,Brazil,High,Brake System,Parking brake not releasing properly,Brake System
DT00280,Axor,South Africa,Low,Brake System,Brake pedal response delayed,Brake System
DT00281,Actros,India,Medium,Brake System,Brake pressure warning indicator remains active,Brake System
DT00282,Arocs,Germany,High,Brake System,ABS fault detected during operation,Brake System
DT00283,Atego,USA,Low,Brake System,Brake sensor communication error,Brake System
DT00284,eActros,Brazil,Medium,Brake System,Parking brake not releasing properly,Brake System
DT00285,Axor,South Africa,High,Brake System,Brake pedal response delayed,Brake System
DT00286,Actros,India,Low,Brake System,Brake pressure warning indicator remains active,Brake System
DT00287,Arocs,Germany,Medium,Brake System,ABS fault detected during operation,Brake System
DT00288,Atego,USA,High,Brake System,Brake sensor communication error,Brake System
DT00289,eActros,Brazil,Low,Brake System,Parking brake not releasing properly,Brake System
DT00290,Axor,South Africa,Medium,Brake System,Brake pedal response delayed,Brake System
DT00291,Actros,India,High,Brake System,Brake pressure warning indicator remains active,Brake System
DT00292,Arocs,Germany,Low,Brake System,ABS fault detected during operation,Brake System
DT00293,Atego,USA,Medium,Brake System,Brake sensor communication error,Brake System
DT00294,eActros,Brazil,High,Brake System,Parking brake not releasing properly,Brake System
DT00295,Axor,South Africa,Low,Brake System,Brake pedal response delayed,Brake System
DT00296,Actros,India,Medium,Brake System,Brake pressure warning indicator remains active,Brake System
DT00297,Arocs,Germany,High,Brake System,ABS fault detected during operation,Brake System
DT00298,Atego,USA,Low,Brake System,Brake sensor communication error,Brake System
DT00299,eActros,Brazil,Medium,Brake System,Parking brake not releasing properly,Brake System
DT00300,Axor,South Africa,High,Brake System,Brake pedal response delayed,Brake System
DT00301,Actros,India,Low,Transmission,Transmission shifting delay observed,Transmission
DT00302,Arocs,Germany,Medium,Transmission,Gearbox noise during gear change,Transmission
DT00303,Atego,USA,High,Transmission,Automatic transmission not engaging,Transmission
DT00304,eActros,Brazil,Low,Transmission,Gear slipping under load,Transmission
DT00305,Axor,South Africa,Medium,Transmission,Transmission warning light active,Transmission
DT00306,Actros,India,High,Transmission,Transmission shifting delay observed,Transmission
DT00307,Arocs,Germany,Low,Transmission,Gearbox noise during gear change,Transmission
DT00308,Atego,USA,Medium,Transmission,Automatic transmission not engaging,Transmission
DT00309,eActros,Brazil,High,Transmission,Gear slipping under load,Transmission
DT00310,Axor,South Africa,Low,Transmission,Transmission warning light active,Transmission
DT00311,Actros,India,Medium,Transmission,Transmission shifting delay observed,Transmission
DT00312,Arocs,Germany,High,Transmission,Gearbox noise during gear change,Transmission
DT00313,Atego,USA,Low,Transmission,Automatic transmission not engaging,Transmission
DT00314,eActros,Brazil,Medium,Transmission,Gear slipping under load,Transmission
DT00315,Axor,South Africa,High,Transmission,Transmission warning light active,Transmission
DT00316,Actros,India,Low,Transmission,Transmission shifting delay observed,Transmission
DT00317,Arocs,Germany,Medium,Transmission,Gearbox noise during gear change,Transmission
DT00318,Atego,USA,High,Transmission,Automatic transmission not engaging,Transmission
DT00319,eActros,Brazil,Low,Transmission,Gear slipping under load,Transmission
DT00320,Axor,South Africa,Medium,Transmission,Transmission warning light active,Transmission
DT00321,Actros,India,High,Transmission,Transmission shifting delay observed,Transmission
DT00322,Arocs,Germany,Low,Transmission,Gearbox noise during gear change,Transmission
DT00323,Atego,USA,Medium,Transmission,Automatic transmission not engaging,Transmission
DT00324,eActros,Brazil,High,Transmission,Gear slipping under load,Transmission
DT00325,Axor,South Africa,Low,Transmission,Transmission warning light active,Transmission
DT00326,Actros,India,Medium,Transmission,Transmission shifting delay observed,Transmission
DT00327,Arocs,Germany,High,Transmission,Gearbox noise during gear change,Transmission
DT00328,Atego,USA,Low,Transmission,Automatic transmission not engaging,Transmission
DT00329,eActros,Brazil,Medium,Transmission,Gear slipping under load,Transmission
DT00330,Axor,South Africa,High,Transmission,Transmission warning light active,Transmission
DT00331,Actros,India,Low,Transmission,Transmission shifting delay observed,Transmission
DT00332,Arocs,Germany,Medium,Transmission,Gearbox noise during gear change,Transmission
DT00333,Atego,USA,High,Transmission,Automatic transmission not engaging,Transmission
DT00334,eActros,Brazil,Low,Transmission,Gear slipping under load,Transmission
DT00335,Axor,South Africa,Medium,Transmission,Transmission warning light active,Transmission
DT00336,Actros,India,High,Transmission,Transmission shifting delay observed,Transmission
DT00337,Arocs,Germany,Low,Transmission,Gearbox noise during gear change,Transmission
DT00338,Atego,USA,Medium,Transmission,Automatic transmission not engaging,Transmission
DT00339,eActros,Brazil,High,Transmission,Gear slipping under load,Transmission
DT00340,Axor,South Africa,Low,Transmission,Transmission warning light active,Transmission
DT00341,Actros,India,Medium,Transmission,Transmission shifting delay observed,Transmission
DT00342,Arocs,Germany,High,Transmission,Gearbox noise during gear change,Transmission
DT00343,Atego,USA,Low,Transmission,Automatic transmission not engaging,Transmission
