TruckNumber,Mileage,EngineTemperature,OilPressure,BreakdownRisk,InspectionDate
DT1324,149587,105,23,Low,2026-01-22
DT1325,319605,122,31,Medium,2026-01-08
DT1326,589066,114,8,High,2026-01-23
DT1327,824281,110,13,High,2026-06-23
DT1328,595372,125,23,High,2026-03-28
DT1329,400640,134,47,Medium,2026-02-18
DT1330,508086,137,10,High,2026-01-26
DT1331,855544,82,14,Medium,2026-01-16
DT1332,459731,100,41,Low,2026-06-17
DT1333,802195,76,43,Low,2026-06-22
DT1334,263556,119,54,Low,2026-02-05
DT1335,782453,95,47,Low,2026-05-21
DT1336,779913,113,24,High,2026-01-28
DT1337,518591,77,13,Medium,2026-03-28
DT1338,575737,84,24,Medium,2026-04-22
DT1339,814379,134,29,High,2026-01-05
DT1340,537156,92,58,Low,2026-05-18
DT1341,673725,114,42,Medium,2026-06-18
DT1342,996008,116,39,Medium,2026-06-21
DT1343,962019,111,18,High,2026-02-25
DT1344,285119,133,28,Medium,2026-01-03
DT1345,544083,106,36,Medium,2026-04-08
DT1346,783333,124,27,High,2026-03-18
DT1347,844912,110,50,Medium,2026-05-19
DT1348,625669,77,54,Low,2026-05-04
DT1349,510593,91,16,Medium,2026-04-14
DT1350,195503,134,54,Low,2026-01-28
DT1351,969126,110,16,High,2026-02-03
DT1352,153959,111,29,Low,2026-02-11
DT1353,769940,130,26,High,2026-01-08
DT1354,966540,81,41,Low,2026-04-12
DT1355,495979,79,24,Low,2026-02-10
DT1356,534147,102,37,Medium,2026-01-07
DT1357,278468,96,40,Low,2026-06-10
DT1358,187816,115,19,Medium,2026-03-03
DT1359,473323,120,60,Low,2026-02-14
DT1360,815157,132,56,Medium,2026-02-01
DT1361,354040,139,47,Medium,2026-01-28
DT1362,800975,103,36,Medium,2026-04-06
DT1363,903361,112,27,High,2026-03-25
DT1364,868473,82,54,Low,2026-02-15
DT1365,286586,75,10,Medium,2026-03-10
DT1366,933032,93,35,Medium,2026-06-22
DT1367,920667,83,20,Medium,2026-04-27
DT1368,226518,77,60,Low,2026-05-05
DT1369,178899,93,19,Low,2026-05-28
DT1370,624477,75,11,Medium,2026-01-08
DT1371,537462,136,50,Medium,2026-05-17
DT1372,426110,98,52,Low,2026-04-28
DT1373,560402,87,9,Medium,2026-06-20
DT1374,320280,102,48,Low,2026-04-20
DT1375,712065,118,55,Medium,2026-05-19
DT1376,69862,98,19,Low,2026-02-10
DT1377,874222,97,39,Medium,2026-01-13
DT1378,939324,92,28,Medium,2026-05-16
DT1379,872566,133,54,Medium,2026-03-27
DT1380,198758,89,57,Low,2026-02-26
DT1381,663166,135,52,Medium,2026-03-03
DT1382,983037,101,31,Medium,2026-06-24
DT1383,74107,101,27,Low,2026-04-22
DT1384,478471,79,56,Low,2026-06-27
DT1385,999463,136,37,High,2026-02-07
DT1386,946282,123,15,High,2026-05-18
DT1387,682216,123,30,Medium,2026-01-21
DT1388,249458,100,10,Medium,2026-02-17
DT1389,866750,100,19,Medium,2026-03-14
DT1390,350060,98,45,Low,2026-01-01
DT1391,377160,108,35,Medium,2026-06-03
DT1392,64913,116,50,Low,2026-04-14
DT1393,909609,119,44,Medium,2026-03-15
DT1394,852975,138,32,High,2026-02-24
DT1395,864004,98,13,High,2026-04-22
DT1396,141629,121,21,Medium,2026-06-02
DT1397,786894,75,34,Medium,2026-02-20
DT1398,733594,87,22,Medium,2026-03-22
DT1399,433828,109,44,Low,2026-02-10
DT1400,612047,96,41,Low,2026-04-28
DT1401,625790,80,27,Medium,2026-03-10
DT1402,458120,78,49,Low,2026-01-18
DT1403,112776,120,54,Low,2026-01-09
DT1404,125765,102,10,Medium,2026-05-17
DT1405,771106,133,41,Medium,2026-01-05
DT1406,347754,108,29,Medium,2026-05-14
DT1407,335645,98,43,Low,2026-02-26
DT1408,275415,133,34,Medium,2026-02-01
DT1409,227183,109,34,Low,2026-05-16
DT1410,104908,118,26,Medium,2026-05-23
DT1411,83049,100,38,Low,2026-02-21
DT1412,433389,120,31,Medium,2026-03-28
DT1413,626669,121,46,Medium,2026-06-02
DT1414,171486,97,28,Low,2026-03-07
DT1415,587200,117,50,Medium,2026-06-22
DT1416,312110,135,26,Medium,2026-06-18
DT1417,836447,103,28,Medium,2026-06-16
DT1418,850948,119,55,Medium,2026-04-23
DT1419,422883,138,39,Medium,2026-01-19
DT1420,696014,87,32,Low,2026-05-05
DT1421,608155,112,39,Medium,2026-01-09
DT1422,351008,90,15,Medium,2026-02-16
DT1423,424648,93,51,Low,2026-06-12
DT1424,788673,83,48,Low,2026-06-28
DT1425,275197,120,12,Medium,2026-04-04
DT1426,748451,130,11,High,2026-06-15
DT1427,783366,97,40,Medium,2026-02-02
DT1428,274151,95,19,Low,2026-01-21
DT1429,772757,75,43,Low,2026-02-25
DT1430,174645,106,29,Low,2026-01-18
DT1431,814007,105,38,Medium,2026-04-12
DT1432,243054,116,11,Medium,2026-02-14
DT1433,298283,90,60,Low,2026-03-20
DT1434,959775,83,57,Low,2026-06-18
DT1435,120317,77,43,Low,2026-06-20
DT1436,142921,119,17,Medium,2026-06-25
DT1437,793378,131,60,Medium,2026-05-14
DT1438,526238,81,11,Medium,2026-02-03
DT1439,709871,96,9,Medium,2026-04-25
DT1440,931323,99,21,Medium,2026-05-25
DT1441,954538,85,26,Medium,2026-05-02
DT1442,470270,134,57,Medium,2026-05-15
DT1443,557588,114,13,High,2026-02-14
DT1444,559414,105,15,Medium,2026-05-14
DT1445,417704,139,20,Medium,2026-04-11
DT1446,419345,92,30,Low,2026-01-21
DT1447,114564,123,55,Low,2026-01-15
DT1448,594242,109,42,Medium,2026-03-11
DT1449,805614,137,60,Medium,2026-05-03
DT1450,631347,118,9,High,2026-02-14
DT1451,475993,123,54,Medium,2026-04-17
DT1452,346157,114,56,Low,2026-03-27
DT1453,584047,136,22,High,2026-05-16
DT1454,402389,123,13,High,2026-03-11
DT1455,299231,100,57,Low,2026-01-07
DT1456,791869,118,44,Medium,2026-06-28
DT1457,497827,79,38,Low,2026-02-15
DT1458,398623,82,8,Medium,2026-04-02
DT1459,372688,86,33,Low,2026-05-05
DT1460,392076,98,25,Medium,2026-06-05
DT1461,740698,88,55,Low,2026-02-19
DT1462,124371,121,29,Medium,2026-05-07
DT1463,689188,123,39,Medium,2026-03-07
DT1464,612792,85,26,Medium,2026-03-05
DT1465,848219,123,25,High,2026-05-27
DT1466,995053,81,14,Medium,2026-01-08
DT1467,700534,134,59,Medium,2026-01-27
DT1468,858562,104,16,High,2026-04-21
DT1469,730859,83,59,Low,2026-03-14
DT1470,173388,112,11,Medium,2026-01-22
DT1471,624077,99,19,Medium,2026-03-22
DT1472,637626,109,54,Medium,2026-03-12
DT1473,656254,118,34,Medium,2026-05-15
DT1474,330472,83,9,Medium,2026-04-10
DT1475,102189,100,50,Low,2026-03-14
DT1476,217215,118,29,Low,2026-04-05
DT1477,863576,92,18,Medium,2026-05-11
DT1478,374286,99,34,Low,2026-04-17
DT1479,317183,120,24,Medium,2026-03-25
DT1480,975716,105,11,High,2026-06-25
DT1481,442385,77,19,Low,2026-04-02
DT1482,206341,78,12,Low,2026-02-07
DT1483,284263,133,18,Medium,2026-01-26
DT1484,835161,104,42,Medium,2026-05-02
DT1485,65904,91,18,Low,2026-06-04
DT1486,463176,103,47,Low,2026-02-16
DT1487,244501,79,12,Low,2026-04-21
DT1488,437828,105,53,Low,2026-06-03
DT1489,744067,123,34,Medium,2026-03-11
DT1490,691993,79,11,Medium,2026-06-01
DT1491,720775,139,25,High,2026-05-18
DT1492,752895,136,25,High,2026-01-16
DT1493,773562,116,51,Medium,2026-04-24
DT1494,69007,115,31,Low,2026-02-15
DT1495,322964,122,16,High,2026-01-14
DT1496,794625,77,19,Medium,2026-04-01
DT1497,549697,133,48,Medium,2026-05-06
DT1498,491167,125,45,Medium,2026-06-12
DT1499,791714,135,42,Medium,2026-03-26
DT1500,401131,122,53,Medium,2026-05-10
DT1501,977286,116,42,Medium,2026-03-17
DT1502,338113,123,56,Medium,2026-02-25
DT1503,640856,95,46,Low,2026-05-01
DT1504,821482,98,51,Medium,2026-03-27
DT1505,152308,136,53,Low,2026-03-28
DT1506,135716,113,28,Low,2026-05-04
DT1507,324628,95,56,Low,2026-05-09
DT1508,921963,120,8,High,2026-04-09
DT1509,117511,120,17,Medium,2026-04-24
DT1510,108598,80,55,Low,2026-05-14
DT1511,743576,86,41,Low,2026-05-09
DT1512,220494,92,44,Low,2026-02-09
DT1513,548050,85,52,Low,2026-03-25
DT1514,68314,75,38,Low,2026-05-11
DT1515,563556,89,45,Low,2026-04-20
DT1516,275664,116,23,Medium,2026-03-03
DT1517,720296,112,46,Medium,2026-06-14
DT1518,479599,104,24,Medium,2026-06-06
DT1519,156467,122,40,Low,2026-03-09
DT1520,680710,111,22,Medium,2026-03-03
DT1521,189985,136,52,Low,2026-01-10
DT1522,201548,82,45,Low,2026-04-03
DT1523,563470,87,49,Low,2026-06-24
DT1524,309019,135,32,Medium,2026-01-03
DT1525,249555,112,30,Low,2026-04-03
DT1526,624777,100,32,Medium,2026-04-16
DT1527,976189,138,22,High,2026-04-27
DT1528,860749,121,35,High,2026-04-03
DT1529,823244,125,38,Medium,2026-03-08
DT1530,181652,131,49,Low,2026-05-15
DT1531,594495,138,27,High,2026-01-15
DT1532,606890,140,26,High,2026-04-26
DT1533,644930,89,29,Low,2026-04-03
DT1534,671076,108,10,High,2026-01-01
DT1535,758034,89,27,Medium,2026-02-07
DT1536,608214,87,17,Medium,2026-05-17
DT1537,106920,101,54,Low,2026-04-21
DT1538,140219,133,28,Medium,2026-01-27
DT1539,173900,122,36,Medium,2026-02-03
DT1540,129255,104,54,Low,2026-01-24
DT1541,404435,96,55,Low,2026-01-09
DT1542,948385,89,20,Medium,2026-03-03
DT1543,357764,138,13,High,2026-01-07
DT1544,751748,117,56,Medium,2026-06-13
DT1545,535750,130,20,High,2026-01-10
DT1546,169876,105,47,Low,2026-02-10
DT1547,128715,92,48,Low,2026-01-14
DT1548,443631,129,60,Medium,2026-02-14
DT1549,351550,122,33,Medium,2026-05-11
DT1550,664316,101,57,Low,2026-04-06
DT1551,532639,108,32,Medium,2026-03-11
DT1552,110460,125,31,Medium,2026-06-19
DT1553,335543,108,33,Medium,2026-05-06
DT1554,307898,89,32,Low,2026-01-05
DT1555,609943,106,18,Medium,2026-04-11
DT1556,669526,104,38,Low,2026-03-09
DT1557,570805,110,22,Medium,2026-04-28
DT1558,926317,118,38,Medium,2026-05-25
DT1559,722490,88,25,Medium,2026-05-27
DT1560,916388,90,50,Low,2026-05-28
DT1561,287369,105,11,Medium,2026-05-25
DT1562,239133,104,22,Low,2026-06-14
DT1563,127880,136,8,Medium,2026-05-26
DT1564,615789,132,54,Medium,2026-06-11
DT1565,994289,92,50,Low,2026-06-09
DT1566,621050,81,53,Low,2026-03-12
DT1567,307183,116,53,Low,2026-01-14
DT1568,318886,110,31,Medium,2026-02-16
DT1569,96870,110,47,Low,2026-06-05
DT1570,199452,107,15,Medium,2026-01-14
DT1571,556373,115,18,Medium,2026-06-08
DT1572,640550,104,48,Low,2026-06-16
DT1573,687877,76,45,Low,2026-06-01
DT1574,996430,102,45,Medium,2026-04-15
DT1575,412933,78,17,Medium,2026-04-03
DT1576,739765,113,16,High,2026-05-23
DT1577,752821,116,34,Medium,2026-06-25
DT1578,307957,128,59,Medium,2026-06-25
DT1579,199854,106,25,Medium,2026-06-26
DT1580,158576,76,28,Low,2026-05-03
DT1581,113745,135,24,Medium,2026-05-01
DT1582,818666,83,47,Low,2026-01-21
DT1583,234017,125,55,Low,2026-02-27
DT1584,969082,126,25,High,2026-05-06
DT1585,610086,121,11,High,2026-03-23
DT1586,614780,111,58,Medium,2026-01-26
DT1587,941997,92,31,Medium,2026-01-28
DT1588,499375,103,26,Medium,2026-02-03
DT1589,928123,124,30,High,2026-02-19
DT1590,194714,101,53,Low,2026-05-17
DT1591,694917,124,54,Medium,2026-05-27
DT1592,84963,118,53,Low,2026-01-14
DT1593,172988,137,56,Low,2026-01-08
DT1594,763441,124,54,Medium,2026-06-18
DT1595,286206,87,56,Low,2026-03-15
DT1596,343913,98,58,Low,2026-05-09
DT1597,893968,116,48,Medium,2026-03-22
DT1598,219827,108,22,Medium,2026-01-28
DT1599,822381,134,14,High,2026-06-07
DT1600,546708,87,9,Medium,2026-06-25
DT1601,372446,117,35,Medium,2026-02-06
DT1602,636947,80,48,Low,2026-02-26
DT1603,282131,137,54,Medium,2026-02-01
DT1604,589474,91,21,Medium,2026-02-05
DT1605,662688,117,23,Medium,2026-02-20
DT1606,985577,84,53,Low,2026-05-21
DT1607,354350,81,10,Medium,2026-02-16
DT1608,781676,89,46,Low,2026-03-01
DT1609,843686,94,24,Medium,2026-02-27
DT1610,285758,132,34,Medium,2026-04-07
DT1611,620065,87,9,Medium,2026-04-23
DT1612,438320,124,14,High,2026-01-09
DT1613,881005,140,58,Medium,2026-05-23
DT1614,951280,75,34,Medium,2026-02-08
DT1615,306369,94,15,Medium,2026-05-05
DT1616,880682,127,45,Medium,2026-06-10
DT1617,414020,84,15,Medium,2026-05-11
DT1618,526469,87,21,Medium,2026-03-11
DT1619,879027,96,16,High,2026-05-04
DT1620,882933,111,36,Medium,2026-06-07
DT1621,500666,77,13,Medium,2026-04-05
